municipio,populacao_residente_por_cor_(%)_(1)_branca,populacao_residente_por_cor_(%)_(1)_preta,populacao_residente_por_cor_(%)_(1)_parda,populacao_residente_por_cor_(%)_(1)_amarela,populacao_residente_por_cor_(%)_(1)_indigena
Ipubi,7.466076245574821,1.8604847170117955,89.9318475881141,0.054052446358048595,0.1890466933398833
Itacuruba,5.71687977574285,2.8674587886623475,90.05112636656044,0.0,0.0
Itaiba,31.909390329351012,1.9716072091552728,64.58345431901284,0.08907776771378387,0.21381669166416853
Itambe,34.919829161578086,3.8026249590693584,59.391869455604365,0.18462016231088627,0.0279132989821584
Itapetim,53.87771233197416,3.1734437239163777,42.29322959153845,0.3379780115154542,0.04404451787923929
Itapissuma,28.75119968746399,4.827871723892121,65.55921975560408,0.28169591732024746,0.0
Itaquitinga,24.319143148260082,3.031838263549215,72.0242273064511,0.1843981987962339,0.01669707384617624
Jaboatao dos Guararapes,41.746630360125316,4.909887355673508,51.79264570098818,0.14224357236543347,0.3380260680077443
Jaqueira,32.08417892264217,4.131779869603301,62.34855782291607,0.17430162576699051,0.0
Jatauba,47.500108383332716,6.026847439558785,45.3768296981081,0.41368859140936304,0.06212826233455232
Jatoba,27.789338479650773,7.223406518896862,54.497086915844704,0.0,9.612312171073
Joao Alfredo,43.45682796166944,3.7417648880074657,52.21171776657121,0.05121767922234817,0.0
Joaquim Nabuco,30.71729217221799,3.0349681636533243,65.19215975383918,0.0,0.07553311026403044
Jucati,69.85550707152832,3.845957043234042,25.90703086596861,0.0,0.03434710200964558
Jupi,31.29329154403499,1.6770675105720487,66.47491786512553,0.0,0.05814388741665013
Jurema,41.52738201548068,1.7995891814553442,56.476854081497585,0.0,0.0
Lagoa do Carro,42.61123552828476,5.415476121881478,50.872847212367425,0.0734434672015062,0.30969956217006345
Lagoa do Itaenga,30.791344644556613,11.939563889396029,56.60852715111437,0.0,0.0
Lagoa do Ouro,60.946909960945426,2.547460995225321,35.979829671906984,0.024900742744740863,0.20699656121962953
Lagoa dos Gatos,42.40633100208371,3.6971624724498495,53.649731161859336,0.033953999379704856,0.035917697330063
Lagoa Grande,27.211372820102447,4.391634963845532,67.34483379761966,0.21538622056264822,0.23311907362176804
Lajedo,42.7204011812365,1.451540205713043,55.452392698401056,0.0,0.21852157052288512
Limoeiro,44.60742559640214,3.4856686467046822,50.67697260884829,0.06767617028790462,0.11413672907433545
Macaparana,41.52833106733469,4.519893791331193,53.18878702300469,0.0,0.043455933672998014
Machados,33.7752298086546,1.5829401198280186,63.74404638205288,0.0417365579060629,0.0
Manari,33.741047820487566,13.240171168202172,52.450428999491514,0.06719373334330976,0.0
Maraial,31.30809113839124,6.62402762927404,59.91624250100619,0.10766608079129246,0.15680532687338103
Mirandiba,20.874101532484687,11.48957215801309,65.60766013280654,0.2701067793843202,1.5553441170146853
Moreilandia,24.4835526342922,3.4402204154710243,71.44446405168895,0.02398060237581782,0.0
Moreno,38.46336286614698,4.540226931927636,56.028754528458855,0.02756580823080907,0.0855875956100104
Nazare da Mata,31.651727401995633,3.3582505203172732,63.88395270591579,0.05086606874240547,0.21488394937304806
Olinda,41.1185317885565,5.4306836802135035,51.67987917347667,0.13418493310684407,0.5165149152587254
Orobo,39.75072675626484,1.775035333688329,58.14672123614555,0.0,0.0
Oroco,15.437761634778436,9.232867856228836,73.68889176880968,0.5226121893904421,0.25804643640414066
Ouricuri,30.908611204029572,3.750280997860136,63.82706783537182,0.1475778971481416,0.09442024312022192
Palmares,37.852988972949866,5.376001449234501,54.750481350410155,0.05244893602932475,0.09731950815811202
Palmeirina,36.47466236167698,3.017648470812943,59.6948478871366,0.0559772412935581,0.0
Panelas,38.75930865591242,3.5761420023453137,57.02968692389193,0.11649307946538569,0.06463602230225274
Paranatama,47.93883589146346,6.606953895575447,45.233318007028494,0.10872686743792982,0.0
Parnamirim,43.919048105016195,5.903774325930761,49.22629528791796,0.0,0.0
Passira,47.034022683636955,4.336931481548946,46.981432896016194,0.030259547232680394,0.10325552584580866
Paudalho,31.659306270016696,7.644796179690346,59.31775289925696,0.11358495314266001,0.18561253478053585
Paulista,42.40797080179516,4.39173695352596,51.66977952099353,0.23748543291730126,0.4791227124656988
Pedra,35.123859169530405,3.3851667236871505,60.98906954879458,0.08623563485391945,0.05585590268666391
