municipio,populacao_residente_por_grupos_de_idade_(%)_0_a_3_anos,populacao_residente_por_grupos_de_idade_(%)_4_a_6_anos,populacao_residente_por_grupos_de_idade_(%)_7_a_14_anos,populacao_residente_por_grupos_de_idade_(%)_15_a_17_anos,populacao_residente_por_grupos_de_idade_(%)_18_a_24_anos,populacao_residente_por_grupos_de_idade_(%)_25_a_59_anos,populacao_residente_por_grupos_de_idade_(%)_60_a_64_anos,populacao_residente_por_grupos_de_idade_(%)_65_anos_ou_mais
Cabo de Santo Agostinho,8.24081643285444,6.024535973965073,16.736693652387387,6.638221608376218,15.849472620121025,39.957640691112154,2.3969229621270927,4.155696059056901
Cabrobo,9.791708805576349,6.543267375476523,19.097505775462405,7.180439598850932,14.3632573457143,35.036086907633084,2.2789783590333856,5.70875583225324
Cachoeirinha,7.66097644904451,5.670159160645241,17.604200618831083,6.95093876890342,12.547946338655802,36.65062786041346,3.6793766320159516,9.235774171490311
Caetes,10.108661011948627,6.497689769410438,20.958383857639248,8.116684351009836,12.121953424969325,31.656792476665103,3.1651778589355155,7.37465724942184
Calcado,8.795703621664906,6.879040120432808,19.341056070643873,7.344292296258202,12.853845887676302,33.57246562457939,3.8508606004649013,7.362735778279696
Calumbi,7.4579295530050365,7.372302210993616,20.941910679381937,7.506831507217178,13.435637635045374,33.41890371666996,2.964517767096295,6.901966930590729
Camaragibe,7.344405286873328,5.940175407747715,15.249552419041152,5.948348657029007,15.057540917277072,43.17726220256025,2.61665287908826,4.66606223038293
Camocim de Sao Felix,8.31918584705039,6.363686049363383,17.126588903694554,6.69119395475581,13.487436544774736,36.49354945429906,3.135366017668728,8.382993228393504
Camutanga,8.790489276881324,5.709962100109333,17.982975445010446,6.346389213561303,14.497567950677592,35.84905660458174,3.88832146385702,6.9352379453210515
Canhotinho,8.035160439407512,7.519624338246275,17.904284242409723,7.328045193263247,13.40630472670106,34.95585874834688,2.889015536944347,7.961706774680742
Capoeiras,8.629673059406121,8.131667691065255,19.795214781902537,7.72523073083701,12.28397360568396,33.437308243116604,2.9169264260382595,7.0800054619499715
Carnaiba,8.002202836896522,7.415023053165386,18.88996217416252,6.994562866799386,13.64286932147486,35.036166365811525,2.810378290831304,7.208835090859379
Carnaubeira da Penha,11.058389202047005,7.844906068069695,22.196281815957,7.049857369759175,13.346144167987084,29.4309880814344,2.641688527945007,6.4317447668013585
Carpina,7.627297136212005,5.849086307805843,15.733313943814764,6.431226958275814,15.201406913379126,40.52122674782862,2.711609710577308,5.924832282105232
Caruaru,7.675458679814062,5.98486569143629,16.28873608586807,6.134605075876149,13.894649677088857,40.75597120261133,3.0112990111947884,6.254414576108824
Casinhas,8.750052582099137,6.46436912468094,20.58175663665868,8.469512717287794,12.80437263407832,31.53990258505761,3.029191098688689,8.360842621449342
Catende,9.02439159975322,6.516633861142804,18.729697897291263,7.387481301606202,13.071935789054029,35.288095466434875,2.909456885483088,7.0723071992341815
Cedro,9.66270547840907,7.326519441785235,21.46748118283931,6.789512496420079,12.810529384813668,33.30541304578812,2.6119265022393434,6.02591246770481
Cha de Alegria,9.200335392959111,6.635970113018789,19.49966999263379,7.933485944035558,15.107407589388922,33.89479373091735,2.523239555476409,5.205097681570155
Cha Grande,8.383523854359446,6.000004119123522,18.642089071739836,6.940306530829228,14.876089697061126,35.54374686423497,3.4005037034422774,6.213736159209024
Condado,8.79673237300984,7.026708114428337,16.401177579381933,6.943432174940606,15.07794691377545,36.56007707469904,2.9777923434191043,6.216133426345677
Correntes,8.505831678519014,7.903149976316983,18.612140147397128,7.718071909542647,13.415464818550705,33.18469842790727,3.414996909814493,7.245646131951718
Cortes,9.013934883870393,6.468020905627209,20.556211546788226,8.125496190310301,15.224397351755284,33.10845233824809,2.1317020682978653,5.371784715102501
Cumaru,8.381978412876943,6.5383504565312975,18.20073160917425,7.22400634577187,14.424694270207214,35.27072362445096,3.148340192411373,6.811175088576209
Cupira,8.68247549163274,6.341822925474151,16.691736072927498,7.264782854131129,13.027403180084157,35.32591699043672,3.6106063428273902,9.055256142486156
Custodia,7.095284727285403,5.894096246505702,18.339726421433962,7.038800948944582,14.134649933388733,36.56501445479579,3.3456441370149523,7.586783130631367
Dormentes,8.586229852555492,7.221813711100704,20.14365999545164,6.978189276773445,13.124510050507007,35.34105891340487,2.5543448188845446,6.050193381322511
Escada,8.543344986399305,6.744656878586771,17.92558004019373,7.302696528773107,14.45834705224306,36.779965469786895,2.725913664927965,5.519495379088428
Exu,9.560617992154581,6.912823310402398,21.046220665625736,6.818528330726985,13.81188834920739,32.68050457982197,2.7335875651687194,6.43582920689313
Feira Nova,8.721784264822082,5.203194994391329,18.87451164597315,6.4644494062565405,14.832681632835437,35.81693800670308,3.500208293392641,6.586231755625599
Fernando de Noronha,7.781991205373867,7.320144005006333,16.030178856848842,5.212659493163694,11.22484341632254,49.002336539297765,1.6036400062601839,1.824206477726758
Ferreiros,7.758854608847952,6.4202149794353085,16.947992962429545,7.218259444562827,15.201802083159913,35.89074298657787,3.8015086137796876,6.760624321206578
Flores,7.6770380630033594,6.048515327018779,18.49362732419072,6.986886002052851,13.015034950307527,35.335926619643246,3.6267523166645845,8.816219397118765
Floresta,8.767680227465082,8.193452429702617,18.871290813646393,6.6586917776484675,14.441996525159892,34.64624122718402,2.397194546946856,6.0234524522469615
Frei Miguelinho,6.4369668005016365,5.1709264793125245,17.11764224177711,7.491210928910787,11.610345550811147,36.01479426789286,4.65404371966143,11.504070011132544
Gameleira,9.67654196707805,6.725139650611315,19.406342379934564,7.913387979297873,14.283837367019615,34.483189601318614,2.5130084995617326,4.99855255517851
Garanhuns,8.259484592040502,6.3307529671895635,17.10005280398326,6.7923188908653325,14.316140629108062,37.80075666109842,2.8444308824650135,6.556062573249485
Gloria do Goita,8.371656768297854,6.285587174675607,20.13262322662565,7.620086266075293,14.082751797180318,33.95877186643921,2.9313372119089083,6.617185688797189
Goiana,7.621747679889934,6.041201013827634,17.41310115372224,6.787852299792902,14.971985849923392,38.8468184950164,2.5398913758307917,5.777402131997083
Granito,8.825333934653973,6.590637990023406,21.212505979963264,6.64665117267764,13.729780907079544,33.649754500888875,2.8902772415541653,6.455058273158917
Gravata,7.585405927700439,5.928498051930111,16.725568022609945,6.8904059671770215,13.542754439161333,38.614302914798564,3.1612288155326866,7.551835861091035
Iati,9.735064042960731,7.167649373931508,21.088355488470885,7.125617942298866,13.743750662498499,31.954100955282794,3.038484359445032,6.14697717511197
Ibimirim,9.426182536582553,7.307179014101238,22.329908786299065,7.6040992935953735,12.383575315583245,32.17337715722181,2.384271344046603,6.391406552570758
Ibirajuba,8.101394682343468,6.289430513771693,18.65569268584576,6.720611109894464,12.289875579711437,33.81285291771389,4.146193236438125,9.983949274280885
Igarassu,8.205274873157823,6.236043639420162,16.698611236864515,6.654028174962747,14.462444229218038,40.816996244456035,2.2351488654925444,4.691452736429064
Iguaraci,7.063154538445667,6.068611449361473,19.22232224194822,7.032863059602636,12.997384942091708,35.50931964573933,3.260806740688629,8.845537382121789
Ilha de Itamaraca,7.39992466800036,6.322160088246891,14.951140114154468,5.141445659018439,15.535815030149806,44.23004161898984,1.9674378942179387,4.452034927222024
Inaja,10.516389472284976,7.825144093387874,21.545514627336793,7.202150634941004,13.076463822188348,31.74698795240128,2.0740062153298724,6.0133431821298
Ingazeira,7.99059342783452,6.916472708327344,18.57224194390511,7.955080827440465,11.11651978517387,37.749069411128346,3.011045088454117,6.688976807736643
Ipojuca,8.516671005394388,7.503616307856619,18.678735527439482,7.485404385976162,15.262159334205409,36.24601474345182,2.144552519971697,4.16284617570414
Ipubi,10.765304320347456,6.9782091820890635,20.313078807451372,7.653351106174525,13.499326612730833,31.820154500672416,2.624952195648531,6.345623274885213
Itacuruba,8.305687229693149,7.475068165868009,18.45200557532702,7.868176066135807,14.099662581346653,35.97710547821066,2.2449899140014815,5.577304989417064
Itaiba,10.022906310037301,7.44532661337357,20.50333317941655,6.99491044512825,12.550594984238316,33.67662972523296,2.0123936832767866,6.7939050592961845
Itambe,9.070860513893036,6.7072051314254715,18.545300657507376,7.3194108257501345,15.283642173164521,33.745926476147275,2.713738595546383,6.613915626566413
Itapetim,6.477110389659542,5.444079369064006,18.161432480969694,7.280686050914347,13.361329390049473,36.11675470723115,3.92466036641148,9.233947245700676
Itapissuma,8.886392175439232,7.310538509553363,17.661689319364914,7.120641154966245,14.722667653822027,37.308610061512184,2.1321694060247025,4.857291719317681
Itaquitinga,9.164964722888545,6.113740307767396,18.493870220559913,8.223105780077908,14.499302246842182,35.82608695596777,2.9503566985323846,4.728573067364204
Jaboatao dos Guararapes,7.598495717708162,5.86951439067568,15.691176625164033,6.342387200936127,14.447356177143837,43.51257660488426,2.2847984236717833,4.2536948598166155
Jaqueira,9.958585507387332,6.991503107570293,21.65799514011807,7.853257653979813,13.935123020940186,31.98318029653417,2.647059763747774,4.973295509721974
Jatauba,9.760554639878888,7.326083419819011,18.940114141227152,6.887697353421913,11.197336428572465,34.89387838629428,3.1342776351193917,7.860057995666859
Jatoba,8.337747623808536,5.895363790843049,19.110362877433655,7.235819535553698,14.942458529592376,36.96379677514199,2.4980433398881425,5.016407527738479
Joao Alfredo,7.939947119300533,6.466837394641796,17.34927730347554,8.035679630584609,13.78304941112363,34.48765884684445,3.1075873745641873,8.829962919465768
Joaquim Nabuco,9.502189523723674,7.22870505881716,20.487315778129265,7.647725329696198,14.481003085357111,33.07378335963318,2.6225291610942945,4.956748703549526
Jucati,8.337975487570699,7.413284305770162,18.847812184935865,7.214206282881622,12.610769702005872,34.608184904527015,3.6471913935275326,7.3205757387814625
Jupi,9.34772088592343,6.564234251153425,19.33015695649783,7.163301203914118,12.302997766364733,33.74969583937965,3.1147669217982594,8.427126174968382
Jurema,9.713299626449285,7.248202630705339,18.45076759252414,7.0657877614062805,12.779929434879817,32.04279164520261,3.8606234955833396,8.838597813249107
Lagoa do Carro,8.400868365243609,5.522356521501394,17.175173283047044,7.032356395661683,15.972983039935531,37.79557589573181,2.296826622529928,5.803859876348458
Lagoa do Itaenga,8.60990676813217,6.70448486051246,19.436748565632918,7.64588867048447,15.43065307044364,34.324806662952554,2.3849163816369274,5.4625950202052405
Lagoa do Ouro,8.952380025804903,6.812331442186233,19.862133026967282,7.621103409120441,13.530084551943295,34.19260028267223,2.703083113882439,6.326284147423402
Lagoa dos Gatos,9.251098730845321,7.499505924281139,19.37361894748812,6.4641119798460975,12.424086777816616,32.869565216883686,3.4598242682826053,8.658188154557656
Lagoa Grande,10.82656943822675,7.8973845922874375,19.92369189159397,6.862553369287225,13.63177698501015,34.158959084878255,2.335958608036563,4.363106030680052
Lajedo,8.122070580332972,5.778486785098859,17.326739352719702,7.26275515523787,13.315344134039256,36.427706541378654,3.113080048917864,8.653817402275013
Limoeiro,7.454075599447532,5.470835407307834,16.4472703787002,6.967917403153375,13.80726813738668,39.40911189226236,2.814773109391418,7.628748072351282
Macaparana,7.932785470408919,7.445733993817248,18.999536906271473,6.863419607779118,14.395582792717562,33.47114786161337,3.0511426430087045,7.840650724383945
Machados,8.588329335121921,6.976880956797086,18.792615883699817,7.965664211187885,13.711518772243405,33.06533686200853,2.802862926825861,8.096791052115309
Manari,12.247821066655472,8.559758327108685,22.85990602063687,7.128681257341385,12.237299707429248,29.083512435104776,2.384627252984399,5.498393932739101
Maraial,11.01822917136696,8.306945492340324,21.24651214723993,7.9213723881495754,14.410260431231277,30.309557367091738,2.2075658731718724,4.579557129408508
Mirandiba,9.422747808095373,7.786239849819878,20.102397801785695,7.75793385332479,12.734369148363156,32.49504648710182,2.888966804516604,6.812298246993151
Moreilandia,7.956179094025019,6.905494965523734,20.042967898076295,7.613647912652488,13.554038305543445,34.077006116915065,2.642954149699264,7.207711557564113
Moreno,7.643616546959809,6.433937156778588,15.903139315054293,6.394125458861801,15.048817331639889,40.278426989138445,2.723911054907012,5.574026146659598
Nazare da Mata,7.200348411281565,5.176269268271554,15.813135741095039,6.574786815811515,16.181075630543653,40.53931092207183,3.1907388041769797,5.324334406747376
Olinda,6.755367072926115,5.033064073506748,14.756681410783795,6.079377898373199,14.294526021648688,44.1546933693878,2.97270603287346,5.953584120497895
Orobo,7.750124725403819,6.906885267836235,20.329363158306403,7.17892186422982,12.475859029166017,32.757249095637455,3.4727322810814623,9.128864578339284
Oroco,9.393238966533367,8.255259328258076,20.282217640635654,7.749036902655602,15.096228686870896,33.31177829059198,2.0139182129869706,3.8983219714670088
Ouricuri,10.237456044003407,6.7677773247610205,20.23764114871483,7.153653311959883,13.463976639017524,33.865651384438024,2.7673795495783455,5.506464597526564
Palmares,8.669036395296034,6.57521076645512,18.437416218851528,7.306824826251863,13.756089674331232,36.47786341632699,3.185748748729484,5.591809953757044
Palmeirina,8.857478360539293,6.215288693295435,19.186880597688514,7.072062980378388,13.20897728861031,33.85067114042634,2.7830044462851795,8.8256364927765
Panelas,9.3388204606557,6.971301809817946,19.459376067156175,8.045973884789205,12.816668150058542,31.433098863707976,3.827760700041409,8.107000063773736
Paranatama,8.225097347058012,6.231903387460103,19.707396805262384,6.988582411851239,12.231481023638695,32.2442575481963,4.230925817384208,10.140355659148808
Parnamirim,9.269127640170007,5.891855975109171,20.258167196700285,6.216955740671834,14.634306637265782,34.708901445611865,2.385706345717602,6.634979018753673
Passira,7.1074395195275555,6.875953354352983,17.984889427659155,7.813538525486302,13.973499782434892,35.46615405792336,2.9280481607270814,7.850477171888159
Paudalho,8.287721045540328,7.2956383714388355,17.92963033881966,6.683719936356444,15.294256049154203,37.78742497176438,2.456775340754836,4.2648339461706275
Paulista,6.812322457834398,5.268628429060516,14.907231558646883,6.173903144824321,14.447900795978489,45.683103452268135,2.372359192281577,4.334550969107339
Pedra,9.064993712220232,6.790006754526848,18.881217672210138,6.509938010309104,13.688639346189523,35.2054929853268,2.6257785236353803,7.233932995581538
Pesqueira,7.954283920206538,6.21431141499955,17.034952766662375,6.457284769913832,12.892691841866766,37.64834289080484,3.6317482275793997,8.16638416796744
Petrolandia,9.345906778505725,6.690567483684909,19.285634083516303,7.853592461657863,14.229130817961359,35.72474377748144,1.821878924317213,5.048545672875535
Petrolina,9.158281866026059,6.750998970571785,17.519688038411044,6.558039917394656,15.578156076018937,38.78318644810021,1.9658440757592557,3.685804607717052
Pocao,9.508974037658604,6.739859930496459,18.086467517409837,6.323033581316893,11.354547381241733,36.330291644056516,3.0403903010326143,8.616435606787551
Pombos,8.28079118629544,5.456356899439877,18.23875377767104,8.261183705927147,13.230920821061897,36.871969772700794,2.8832408996915695,6.776782937212617
Primavera,8.907924249206074,6.893200034386555,19.12089366451071,7.736923377960885,14.298451720086438,35.183410298897314,2.1694469032430708,5.689749751709127
