municipio,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_total,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_por_grupos_de_idade_10_anos,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_por_grupos_de_idade_11_anos,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_por_grupos_de_idade_12_anos,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_por_grupos_de_idade_13_anos,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_por_grupos_de_idade_14_anos,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_por_grupos_de_idade_15_anos
Lagoa Grande,3.5060850639486674,1.7915512242653153,2.3661933458122477,3.0539143287399773,3.7309481807548206,4.044986769077854,4.331586551416088
Lajedo,3.749857750607238,2.105076084966451,2.1791180355205455,3.2343323411452682,3.8436633853794575,4.648183709930859,4.827392699131564
Limoeiro,4.697092969145718,2.2378290275469954,2.9192486405254376,3.8891820521193887,4.3625645582803925,4.601436930469912,5.744463023080026
Macaparana,3.6539530755887095,1.902790194824578,2.740380558492408,3.1896163344188437,3.5109852156487884,4.362750972567905,4.22526705090749
Machados,3.2148083593378045,1.6921911064844108,2.502921561676061,2.729286977717276,3.3869973697937614,3.879643845980287,3.822785034855886
Manari,1.7161557337156186,0.9681569086797646,1.47085415520039,1.6845392876087502,1.9561049471910241,2.214449868777086,2.8249402032236857
Maraial,2.7472219035500056,1.259671360020011,1.7724772379863885,2.451228947755278,2.6497164734948475,3.0749310380615644,3.632479990109511
Mirandiba,3.889594815590556,1.6580217827987567,2.42146833581732,2.920466893580232,3.797903434135427,4.383856872417489,4.864844678271153
Moreilandia,3.7133944684046982,1.8234665445838887,2.608891405807476,3.0988715470592214,3.714908447439794,4.275751301554058,4.519245389978204
Moreno,4.701196526441813,2.1882782228445388,2.860336285206599,3.1229741355508738,3.8611613238544864,4.126626181884665,4.4478921960166815
Nazare da Mata,4.721121242993499,1.9255028546905781,2.2826451150011082,3.304299894846186,3.180898332562548,3.7453272056467966,4.987197645674312
Olinda,6.873083892408509,2.283344722252324,3.0338238536921054,3.7329974083996995,4.285017808650482,5.26773846617982,5.685644683730485
Orobo,3.2931542143944985,1.8783058226372713,1.9879621686423397,3.316988098043399,3.5548944512566174,3.9481887971028695,4.6346812018531045
Oroco,3.784242945346778,1.7462393344673381,2.274433253073961,2.6366630758568768,3.0331371608487796,3.4469817381750287,4.371030121399686
Ouricuri,3.165756104825172,1.29619099916023,1.9948087268675605,2.438793841101637,2.7045708562190756,3.2306865076113267,3.5202567730758325
Palmares,4.54653448120727,1.7933316174266476,2.183440222447467,3.215444048436185,3.360907942318148,3.9891068200584914,4.599018998123947
Palmeirina,3.2084768117524214,1.8396266474055898,2.5764582814363695,2.761118684818608,3.107368483040886,2.943691376202263,3.961241771502482
Panelas,2.6126098542530625,1.381093585132526,1.7104424805430072,2.441980165582164,2.7179792989883036,3.334919492518989,3.553937366307569
Paranatama,2.474325576096438,1.0718837339589564,1.4296995670720607,2.438577669257525,2.4235570090953606,2.9527274025591845,3.0289225541886067
Parnamirim,3.6957321815605555,2.078550072435761,2.6407866069378327,2.799397731458727,3.398859776591072,4.315796158337132,4.199272393621478
Passira,3.226627437239056,1.5966391366880748,2.2479820353442777,2.9303743033617313,3.2307116880860733,3.4213253546122826,4.540416423345871
Paudalho,4.088208337311395,1.7882957315496726,2.49887431022904,2.99972775908104,3.585429032682666,4.026372361739211,4.484491559344629
Paulista,6.930274741665348,2.3077315793368407,3.0419258355707535,3.7835252575467595,4.458064325731791,5.318880257362891,5.923443891432155
Pedra,3.2287046995385045,1.364025396558068,1.6441328360540834,2.5326889666297143,2.8104819844654374,2.911387094845846,4.112804350386062
Pesqueira,4.187205823563848,1.799877293990893,2.408710416809702,2.828614717407553,3.498105230985967,4.048195267106009,4.90973015708913
Petrolandia,4.52376061029258,1.8473231373954617,2.7525159583937135,3.801352449695081,4.088302728609311,4.113365081699142,4.550415523182911
Petrolina,5.46439640471328,2.104418682492531,2.711163186158596,3.486791696246573,4.141625078379082,4.5449790846128115,5.2078164462446646
Pocao,2.9162872199295644,1.6346945438069,1.7767062056758742,2.738087262077312,2.841450770840691,2.979300976918346,3.1535958066693595
Pombos,3.171028663146024,1.259948993420238,1.6368017843869045,2.5117302284396716,2.8962496634011794,3.2012010817612113,4.33901638159004
Primavera,3.3972187679851937,1.9165427149985867,2.359823284799107,2.940981548224545,3.1037158428122273,3.3414637024466933,3.904168518137495
Quipapa,2.755687874379778,1.299939981337221,2.0501974319261227,2.182626384090259,2.647561876354009,3.1269841624247134,3.297603420143383
Quixaba,3.2220840140465503,2.0875435028562412,2.6163189211541567,2.918443324246029,3.6347836375890545,4.396099207599313,4.189190840134577
Recife,7.170733190831045,2.28304793360093,2.957624764076519,3.6668526887401245,4.482020407281475,5.139698536582506,5.748677737855513
Riacho das Almas,3.1534781359983812,1.9854187867262554,2.2935151022908706,3.0333334576838094,3.2392742022687786,3.5751335668355755,4.104930613259319
Ribeirao,3.9108298892776445,1.5782785556922465,2.056863811399781,2.7028568382913765,3.3117326522451043,3.825503991607284,4.490842729822983
Rio Formoso,3.5426863971172895,1.148204939992478,1.565421206152672,2.2766253850977356,2.6040491594375643,3.527611633953024,3.6273273260532686
Saire,2.85494680769387,1.674951716133774,1.8608373430874077,2.6171982158605456,2.8903017166728877,3.888564669276253,3.614297229118131
Salgadinho,2.780301942909936,1.0549033265933547,1.8406707929985469,2.370604613124443,2.686357250888391,2.0557448994460272,3.3138825359745043
Salgueiro,4.775661187899937,1.8597278472676941,2.655924356604039,3.08679294329936,3.9766143265550484,4.502892400143715,4.76393480327206
