municipio,"proporcao_de_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_(%)_total","proporcao_de_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_(%)_por_grupos_de_idade_10_a_17_anos","proporcao_de_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_(%)_por_grupos_de_idade_18_a_24_anos","proporcao_de_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_(%)_por_grupos_de_idade_25_a_59_anos","proporcao_de_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_(%)_por_grupos_de_idade_60_anos_ou_mais"
Moreno,31.98266124292016,3.7080471345433486,34.30157597237858,47.39508300563245,11.447707726804332
Nazare da Mata,31.036175163510055,4.832351036451966,31.27628039172,46.020670083446774,10.168908369393446
Olinda,40.516432343286965,6.110557231306244,41.85881128724249,57.658690870689554,13.099436168488618
Orobo,48.912915791136456,16.867822103589113,56.540367599879794,69.84593900924729,38.02828970007283
Oroco,50.25781210565627,25.454218185255574,53.77738904334086,69.12049233657159,20.55749758910606
Ouricuri,38.45819594317656,17.177545919020982,44.59740538803904,52.19007584318784,24.024103887149405
Palmares,33.01138389072746,6.35943046738034,40.47949200534508,47.992124597163496,17.28231722180374
Palmeirina,45.827191932182664,21.613707331079908,48.65160315208058,66.7112762377103,21.992539469738023
Panelas,56.12757425480566,29.7811526460345,60.04598757156556,75.62474731503137,45.66696128100392
Paranatama,54.47433315793966,28.66484407762524,57.60327944956229,75.08592272440522,41.56229280746289
Parnamirim,38.93313588550749,10.854921584610718,40.46916051032666,58.24805245350889,20.670941966448357
Passira,44.85637969377624,20.68233141815288,47.16329566866402,61.68475063344883,30.3081891924243
Paudalho,34.505216286359484,5.566507168252296,41.47902267099712,48.42776126363024,17.38796839278033
Paulista,39.87583806070494,5.341325101799144,39.810513184305755,56.02993684720905,11.419223603006877
Pedra,48.61289329635704,29.98902956174548,53.519983772699184,62.99140327090507,25.886744412713742
Pesqueira,47.24451313233101,23.696973644198636,53.94418400204376,63.58464990081604,22.53962858316061
Petrolandia,42.66813683697787,17.476556775620384,45.58667079077737,58.435274539703265,30.31465336218372
Petrolina,44.90411513641771,10.896653562692766,49.27615331812753,62.206788360565525,20.72911331831621
Pocao,73.27694376723444,52.01688962804407,86.31395374781242,88.87020624389103,45.04876109033219
Pombos,45.74164055402667,18.745680635251023,51.12430798514585,63.64348917536533,26.215761075413113
Primavera,34.173641900668386,9.280446950561835,36.315745079697585,51.62037431801133,14.18363287029617
Quipapa,31.52778460198557,7.926666477202607,36.4377521343731,50.23684570249889,17.705921208234635
Quixaba,50.23576974333317,31.648516727385996,53.595667275170165,64.5920006700149,35.92407339208113
Recife,43.102203551599345,6.965957993021732,43.206246166230336,61.308150264596506,15.606557984250022
Riacho das Almas,46.01595803331205,19.261508537760434,53.166539050619846,62.4861114822634,27.504140464620995
Ribeirao,30.131089405887813,7.552080998937405,32.459124211640464,45.60526870141432,12.068469137864334
Rio Formoso,31.631099552872318,6.6306198258988776,33.771677160272915,49.50239500397754,14.254768258473248
Saire,47.60299546423343,22.263988318690938,52.82445093899102,62.563574629688326,30.63048574247047
Salgadinho,51.565406284999206,22.622889357998332,54.1519246591917,71.15539003603908,34.48603422400698
Salgueiro,37.57201589307471,9.650446963103347,40.804089872266445,55.49056595942085,15.806335508003997
Saloa,53.437394594045074,32.954965292248865,53.999775324015395,69.18446832021009,39.30495321575649
Sanharo,54.87196012422151,34.30138845294774,61.268086708799316,71.18374034692326,26.42743310627488
Santa Cruz,30.94411873533016,11.38111429821458,34.40626683821571,42.99945787305221,21.670558926310036
Santa Cruz da Baixa Verde,46.994963486778055,21.565659141739683,55.71401187397799,64.33482344220818,24.0840557348107
Santa Cruz do Capibaribe,66.78116692073878,40.698384847055415,82.96005310565961,78.55616919251659,26.8628240887608
Santa Filomena,37.507668103198654,20.086735225238264,39.614074606371105,49.84125384486223,26.231564218629373
Santa Maria da Boa Vista,55.14540526839086,28.0296619682902,61.280932242724994,72.09813613589083,40.085362329963225
Santa Maria do Cambuca,53.21079631312586,26.193954522261098,55.96249681961866,72.17647741489456,40.51793766938522
Santa Terezinha,49.600442468816254,29.442076180716676,53.26603650410081,65.38917066542895,31.75326018608985
Sao Benedito do Sul,29.214526958198434,5.377296594157879,36.2471375111734,45.27117074132304,15.590801113522176
Sao Bento do Una,44.795746059833455,23.484914502501432,48.58664042437359,61.244471874219705,26.135541030460598
Sao Caitano,45.84371222784575,19.243891519393163,55.10755451360391,62.08973375151889,28.39631168539734
Sao Joao,53.825843402320984,30.446805431235756,56.28209965574581,71.9048212277825,37.22786279225839
Sao Joaquim do Monte,49.57120633574283,29.52562253890097,57.48875807007996,62.075981106601944,34.514771404640854
Sao Jose da Coroa Grande,29.161875591481813,4.706632345456587,31.76729809236002,46.17064311509499,15.730465498908197
Sao Jose do Belmonte,39.71470899989057,15.82949970590338,42.352551077030284,59.08638896859593,16.709340033838043
Sao Jose do Egito,46.52906960131242,19.030325041672526,50.28220229811304,64.46416121826603,28.37662968134597
Sao Lourenco da Mata,36.08703943886186,7.680969560928723,37.60590808009176,52.14946540694927,13.604538893062198
Sao Vicente Ferrer,36.70100045835232,14.087135836869438,40.555421273757645,52.96349279710213,23.418769501646285
Serra Talhada,44.92651193813779,19.405568401912568,52.67700118333962,60.90380008057335,22.648423909669745
Serrita,45.37578018129344,21.148266263986528,51.6727901473624,62.97720908792795,28.03468761115114
Sertania,32.42091549695933,10.952183467741316,39.802873783686,46.933383837495285,14.850122864580145
Sirinhaem,30.756465584153432,4.641185330892574,33.22709568108896,49.35019527083273,10.757569490675719
Solidao,51.69907171696329,32.45699192991172,53.8757078643915,67.23114795370192,38.884380019434076
Surubim,46.238533833357344,18.796873900256518,50.59600330812637,64.08700623448577,27.387966275501796
Tabira,50.768013791003284,27.120604931869842,60.74182342711659,65.91282246500462,28.177193280352668
Tacaimbo,47.74867788032498,21.189019545336922,53.29501404070288,67.40343654795453,26.95094985835108
Tacaratu,48.7687511862253,28.398074480254508,54.44767813170045,65.35174579617974,26.83283921621381
Tamandare,32.32825218773232,6.254342569780852,33.57942569115372,50.70650103028863,12.245829040145987
Taquaritinga do Norte,49.421450314961255,21.848576435385468,62.4906575768247,65.38497886277025,22.591552808633754
Terezinha,43.32865319817629,24.086228626310124,46.93966142768929,59.12905669726823,27.971635388160138
Terra Nova,57.32864984683575,38.067822077870545,60.3067529194272,72.35804768949204,31.22756271555525
Timbauba,39.327643779256,13.63157161744189,45.259813737101425,55.176772353487124,18.72837332589167
Toritama,61.309467240216186,34.48689394267493,79.31089265854378,75.7586316272988,20.06874212300197
Tracunhaem,36.0840582526883,8.88740285952703,43.76882992071909,50.80591755237822,16.773117515104197
Trindade,41.912582613914054,17.12338968121772,46.749024369720104,58.21540472338599,24.572428577001258
Triunfo,45.019384559018185,19.40265883765892,52.54696129421765,63.53414612740915,25.20499600996565
Tupanatinga,48.32814467433073,30.835621587183393,50.55620699203034,63.529574983121606,33.36759331543436
Tuparetama,37.72285175586226,12.285257913366813,44.04268920266844,56.23953838055189,17.988983069233573
Venturosa,41.4309679459063,15.885268510843378,44.685997480109336,58.824030967505244,23.15093539928024
Verdejante,34.90998792934994,9.225793485444866,40.10182040358567,55.18033652226989,11.673218011842506
Vertente do Lerio,44.669141368814614,21.86294040260376,44.88450804542147,65.75253119056626,32.9276793570276
Vertentes,41.54446298984395,15.8590133102255,52.94741507885813,57.12425819972567,24.054370635374696
Vicencia,33.23077416968007,7.826965963373252,40.66447814808098,49.01636766831913,14.449589698829953
Vitoria de Santo Antao,39.64887467294022,13.517633602062881,46.40629471491427,53.61374172819886,18.000819782170396
Xexeu,29.93869382408721,6.602771101457362,36.74044519722582,46.8563576155364,10.987219271116356
