municipio,pessoas_de_60_anos_ou_mais_de_idade_(%)_aposentadas_total,pessoas_de_60_anos_ou_mais_de_idade_(%)_aposentadas_por_sexo_masculino,pessoas_de_60_anos_ou_mais_de_idade_(%)_aposentadas_por_sexo_feminino,pessoas_de_60_anos_ou_mais_de_idade_(%)_pensionistas_total,pessoas_de_60_anos_ou_mais_de_idade_(%)_pensionistas_por_sexo_masculino,pessoas_de_60_anos_ou_mais_de_idade_(%)_pensionistas_por_sexo_feminino
Caruaru,63.5195907753442,67.686643523797,60.3660873550426,10.7779300387597,6.67875243577169,13.8800675377981
Casinhas,82.9376147327824,78.8684535501393,86.5805794823763,9.79353178098548,10.9427082047354,8.76471797517164
Catende,66.6316725738249,78.2013626014762,55.3648322802772,13.2151454800859,5.76573567866154,20.469558546749
Cedro,90.1110084253347,88.5018632707501,91.485109905618,6.91357506796259,5.03835089223785,8.51489009438202
Cha de Alegria,72.770192883023,73.2547919718993,72.3308230424595,10.8573372847885,8.53174528144453,12.965874034403
Cha Grande,66.4743617916777,63.8191904269042,69.6719189204987,11.7161165949094,11.3654781516425,12.1383817898349
Condado,62.184766660058,67.6464866551924,56.3103826266618,6.73590491210843,3.21245964516738,10.5255665273328
Correntes,77.8299401940322,77.449742842375,78.153941199128,8.91288742057141,6.00064333844497,11.3946774845483
Cortes,64.7229103999794,65.1900448882202,64.2694355218034,12.1905807029172,8.14129186895364,16.1214631509173
Cumaru,77.3884853182412,71.9145718196151,84.3406391577551,7.293251356991,7.82640028649457,6.61612458503688
Cupira,75.8680964654989,82.3637491293026,70.3902931462213,8.35276756804773,3.88107156657267,12.1237621805177
Custodia,85.0935129192368,86.952796454983,83.2976219166764,5.38135987185174,2.87386565300205,7.80336072326988
Dormentes,85.4800501104839,85.9637280134046,84.9641270140852,9.16699851451613,6.88187466751009,11.6044639510864
Escada,65.9057189109367,76.1223427476107,56.4785048055404,14.077452095958,5.30651073220426,22.170687538881
Exu,79.9199958542883,74.2209864617768,84.9039340808014,7.70065488263606,7.60626212123441,7.78320391167854
Feira Nova,79.7521350462671,76.7878915089188,82.5233861256111,8.73777928811777,9.76626873199892,7.77625151702267
Fernando de Noronha,28.7366450222916,64.3043553226869,0,41.6959470957899,21.4631543477596,58.0428690117414
Ferreiros,68.2222135791586,77.1348829226729,59.9613210751655,11.7716869015116,9.48266976233786,13.8933099302254
Flores,89.9680424474327,90.3275536194773,89.6520688864993,4.3875438202652,4.01804582762406,4.71229477537028
Floresta,88.4062402540458,86.0887029369962,90.2531652981513,2.85914209048195,1.21295340142712,4.1710463669617
Frei Miguelinho,91.2870362315319,89.3878257045003,93.0315992408134,4.81991180196032,5.49186025083192,4.20267827710331
Gameleira,60.4596864712299,64.2303836683314,56.4605927583596,18.4767745441534,15.3228644975928,21.821721427678
Garanhuns,71.8195695959704,73.1363295119312,70.8763201490569,8.13175681110806,4.51343733468449,10.7237083153441
Gloria do Goita,72.8575328110278,72.3070963073518,73.3572650523084,10.4779222302112,6.23072571372327,14.3338820369628
Goiana,63.7041076371309,73.8338753576953,55.1288769466305,11.0794882676429,4.42666009243449,16.7113584072569
Granito,83.8301377578045,80.9697567759811,86.4391346890749,8.14829406594021,7.27891291322526,8.94126981775481
Gravata,69.4762315226484,71.0170204937934,68.2121540843196,10.5792130971946,8.44986375195135,12.3261508778057
Iati,89.2112707375628,85.6931751956799,92.5152578393487,1.12654862334995,0,2.18453641156417
Ibimirim,81.7349237749431,84.3741119916279,79.3272847482784,6.18783388696949,4.33224046307167,7.88062681350473
Ibirajuba,89.3645231156751,86.895550104278,91.6655696539522,6.31573920861335,6.96577187193226,5.70991832568253
Igarassu,61.1913852661085,70.1635791902062,53.3517846438253,15.4027212899428,9.25280281103401,20.7763127595556
Iguaraci,88.5572737499141,88.845454845847,88.3476934365575,7.36453137669716,4.9839929500561,9.09578299747878
Ilha de Itamaraca,73.1984346533124,77.0104681598361,69.6884868211556,8.21126649181881,6.6554990102459,9.64374673889481
Inaja,71.1505425603781,69.3652062419357,72.723264396115,19.6370169038971,18.0025898532406,21.0768011534716
Ingazeira,95.8769249006772,94.8945829810147,96.7464020041169,1.72594927539503,0,3.25359799588313
Ipojuca,64.2620953984643,68.1270466943848,60.5456104975082,11.3814283134919,4.4102047769334,18.0848625953563
Ipubi,74.6903589916471,69.4729774144349,79.4216192226777,12.7932799572519,13.8865065048604,11.8019130787399
Itacuruba,83.4966026649302,79.9212283905876,86.6351721868422,5.00852523013967,1.10775480716622,8.43273713695366
Itaiba,84.7902844088613,84.0939987755681,85.4191875615255,8.33201737860172,6.92914210689539,9.59913052726453
Itambe,61.1282832773521,66.8960156980913,55.27148766282,14.0711567649402,11.587293763241,16.5933746617244
Itapetim,70.3089114970165,76.9319735773622,64.8714209793815,19.8058746830664,13.2726365823433,25.1696203027179
Itapissuma,57.903706303586,64.0169714753543,53.0815378473282,23.4713436262664,15.5173292124027,29.7455025788804
Itaquitinga,70.0766865209059,73.8060703793917,66.0640583188777,9.22420944337979,6.20063151775127,12.4774261986894
Jaboatao dos Guararapes,55.9551579590442,69.556031530517,46.1748364488223,15.8642537869141,8.37973272347938,21.2463361925584
Jaqueira,53.5047715343863,66.9178862983519,39.8477819549896,15.861613949503,12.1036806021382,19.6878733581605
Jatauba,88.4077837759156,86.2755580166616,90.369736441116,6.28970230229671,5.16378220732077,7.32570982708789
Jatoba,80.6808176740546,80.3372184709473,81.0272103666249,8.92636178902194,8.01621896927321,9.84390414390879
Joao Alfredo,81.7151355982932,85.3363706600403,78.6655936853054,14.3052742991733,10.0349446057026,17.9014367024594
Joaquim Nabuco,64.1893598795707,71.4028921112135,56.4941020361813,10.6721197904778,4.34738975755462,17.4192204937472
Jucati,80.7561625484283,77.9764984463693,83.1104819060868,7.49636110559859,3.87730252799135,10.5616306320316
Jupi,87.090501193775,82.5313310686944,90.2250196038468,3.78099986512693,2.83549272938984,4.43105446772192
Jurema,84.989363138854,86.3654109105945,83.8615492196512,3.60565355010194,1.30015947458779,5.49524514888445
Lagoa do Carro,76.823677209763,78.8513306024607,75.0400599774358,11.7459570905061,9.83517335775311,13.4267703918634
Lagoa do Itaenga,77.1910962766898,75.1059625714914,78.9910175681235,6.91357540176879,7.37837080371405,6.51235645929234
Lagoa do Ouro,81.5948511312834,79.6259494306967,83.3944135347776,8.49877062707378,9.71050720808031,7.39125185482213
Lagoa dos Gatos,78.8958001023235,79.2900199162617,78.5374535199894,4.5586560932154,5.67427563072471,3.54455575041987
Lagoa Grande,80.4444925107853,74.0240073407602,86.706691451259,7.9173481165952,8.08545210016473,7.75338845312409
