municipio,"pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_contribui_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_contribui_por_sexo_masculino","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_contribui_por_sexo_feminino","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_nao_contribui_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_nao_contribui_por_sexo_masculino","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_nao_contribui_por_sexo_feminino"
Calcado,7.38287560581583,6.08031674208145,9.11831198191409,46.4781906300485,62.0475113122172,25.7347400150716
Calumbi,15.709219858156,11.1775254034668,22.3190932868352,29.6808510638298,36.5212193664077,19.7035745422842
Camaragibe,55.8490380599032,58.5338909492622,51.4166612388458,42.883117521315,40.7362108419474,46.427408324106
Camocim de Sao Felix,20.0224466891134,15.6701708278581,29.4117647058824,71.1784511784512,77.9894875164258,56.4847625797307
Camutanga,53.1233595800525,50.4942965779468,58.9830508474576,38.4251968503937,38.93536121673,37.2881355932203
Canhotinho,13.7053666880479,11.3310580204778,17.6874642243847,53.0575155013898,60.8361774744027,40.011448196909
Capoeiras,11.6897060797208,7.27418065547562,20.7192480588476,57.3077439269897,71.8625099920064,27.5439313445035
Carnaiba,17.834011146257,11.5454545454545,30.1920500223314,37.6261485163428,42.3636363636364,28.3162125949084
Carnaubeira da Penha,9.7226455348979,3.81543921916593,22.6874391431353,18.1347150259067,21.1180124223602,11.587147030185
Carpina,49.6938268880675,50.5583756345178,48.0735690502616,47.3547746455564,46.4467005076142,49.0566037735849
Caruaru,33.5955487336915,33.264838244035,34.0806616346561,61.254392697015,62.5728114120744,59.3204294646638
Casinhas,17.2872893696692,16.0455486542443,19.1723415400733,37.466195132099,44.4099378881988,26.925091671032
Catende,54.1948859709744,54.954954954955,52.6159081242025,43.8562543192813,42.9156429156429,45.810293492131
Cedro,16.6666666666667,10.8822212270488,29.8067141403866,54.1044776119403,59.2476489028213,42.4211597151577
Cha de Alegria,43.6431226765799,41.3566739606127,48.491879350348,43.1598513011152,45.4048140043764,38.3990719257541
Cha Grande,19.2469270266065,13.8593714673299,31.1377245508982,70.9039987552513,80.3979199638255,49.9500998003992
Condado,41.2291483757682,41.958041958042,39.6946564885496,50.8516242317823,51.3079513079513,49.8909487459106
Correntes,14.0260882309834,11.7415470125058,17.9640718562874,39.3082221896526,47.2672533580361,25.5888223552894
Cortes,45.2072129073078,44.5190156599553,46.8682505399568,48.6554887693768,48.1431767337808,49.8920086393089
Cumaru,16.4385455550947,14.4853092253955,20.4564666103128,30.7894373012581,33.2237517978221,25.781910397295
Cupira,12.9052684903749,11.2390701642141,15.3414405986904,58.8905775075988,63.2117722328855,52.5724976613658
