municipio,populacao_total,populacao_sexo_(%)_masculino,populacao_sexo_(%)_feminino,populacao_situacao_do_domicilio_(%)_urbana,populacao_situacao_do_domicilio_(%)_rural,populacao_proporcao_de_pessoas_naturais_dos_municipios_(%)
Quipapa,23518.8988782099,49.0540267156338,50.9459732843663,52.0208338874457,47.9791661125544,84.5810520233167
Quixaba,6854.99999984004,49.919766593725,50.0802334062744,29.7301239990891,70.2698760009105,85.9907992467917
Recife,1422904.99999837,46.5027531704312,53.4972468295702,100,0,73.2640835479645
Riacho das Almas,18141.9999998999,49.5149377139209,50.4850622860794,33.7504134052683,66.2495865947322,84.7333548298687
Ribeirao,41852.9395265899,48.867172437497,51.1328275625035,70.593748115253,29.4062518847475,71.4128578964246
Rio Formoso,20763.9999997999,50.5923714121134,49.407628587887,40.2090156044136,59.7909843955867,80.6528202974926
Saire,13649.00000038,50.1208879773577,49.8791120226424,41.3803209008189,58.6196790991814,84.7899347617246
Salgadinho,7138.99999996,49.7688751921825,50.2311248078175,31.5310267565851,68.4689732434149,86.2499663733644
Salgueiro,51571.0000010298,48.3391828740229,51.660817125978,77.351612340004,22.6483876599966,74.3736336433348
Saloa,15005.99999993,48.4472877511922,51.5527122488077,34.2596294826335,65.7403705173665,80.9102964234083
