municipio,"valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__total","valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__posicao_na_ocupacao_no_trabalho_principal_empregados_total_(1)","valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__posicao_na_ocupacao_no_trabalho_principal_empregados_categoria_do_emprego_no_trabalho_principal_com_carteira_de_trabalho_assinada_(1)","valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__posicao_na_ocupacao_no_trabalho_principal_empregados_categoria_do_emprego_no_trabalho_principal_militares_e_funcionarios_publicos_estatutarios","valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__posicao_na_ocupacao_no_trabalho_principal_empregados_categoria_do_emprego_no_trabalho_principal_outros_sem_carteira_de_trabalho_assinada_(1)","valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__posicao_na_ocupacao_no_trabalho_principal_empregadores_categoria_do_emprego_no_trabalho_principal_outros_sem_carteira_de_trabalho_assinada_(1)","valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__posicao_na_ocupacao_no_trabalho_principal_conta_propria_categoria_do_emprego_no_trabalho_principal_outros_sem_carteira_de_trabalho_assinada_(1)",codigo
Paudalho,160.0,160.0,180.0,430.0,151.0,2000.0,180.0,2610608.0
Paulista,300.0,284.0,302.0,600.0,170.0,1000.0,300.0,2610707.0
Pedra,120.0,100.0,260.0,151.0,100.0,450.0,120.0,2610806.0
Pesqueira,151.0,151.0,215.0,200.0,100.0,1000.0,120.0,2610905.0
Petrolandia,160.0,151.0,255.0,195.0,140.0,600.0,200.0,2611002.0
Petrolina,200.0,200.0,240.0,450.0,151.0,1500.0,250.0,2611101.0
Pocao,60.0,100.0,213.0,166.0,60.0,500.0,48.0,2611200.0
Pombos,151.0,151.0,225.0,151.0,140.0,1000.0,160.0,2611309.0
Primavera,151.0,151.0,155.0,380.0,120.0,1600.0,151.0,2611408.0
Quipapa,151.0,151.0,160.0,167.0,120.0,800.0,151.0,2611507.0
Quixaba,161.0,175.0,250.0,180.0,100.0,150.0,100.0,2611533.0
Recife,300.0,280.0,300.0,800.0,156.0,2000.0,300.0,2611606.0
Riacho das Almas,151.0,151.0,180.0,215.0,120.0,500.0,150.0,2611705.0
Ribeirao,163.0,151.0,180.0,300.0,150.0,1000.0,210.0,2611804.0
Rio Formoso,151.0,151.0,151.0,170.0,150.0,1500.0,250.0,2611903.0
Saire,140.0,140.0,200.0,140.0,120.0,900.0,140.0,2612000.0
Salgadinho,151.0,151.0,203.0,151.0,151.0,0.0,150.0,2612109.0
Salgueiro,151.0,151.0,250.0,277.0,150.0,1500.0,151.0,2612208.0
Saloa,120.0,120.0,400.0,151.0,80.0,900.0,111.0,2612307.0
Sanharo,140.0,140.0,170.0,200.0,100.0,500.0,100.0,2612406.0
Santa Cruz,122.0,122.0,200.0,150.0,100.0,500.0,100.0,2612455.0
Santa Cruz da Baixa Verde,120.0,146.0,171.0,151.0,100.0,900.0,120.0,2612471.0
Santa Cruz do Capibaribe,200.0,200.0,250.0,250.0,200.0,1000.0,280.0,2612505.0
Santa Filomena,100.0,144.0,239.0,151.0,80.0,0.0,80.0,2612554.0
Santa Maria da Boa Vista,151.0,151.0,180.0,151.0,140.0,600.0,151.0,2612604.0
Santa Maria do Cambuca,151.0,150.0,200.0,151.0,122.0,250.0,200.0,2612703.0
Santa Terezinha,140.0,130.0,300.0,170.0,80.0,350.0,150.0,2612802.0
Sao Benedito do Sul,130.0,125.0,151.0,151.0,100.0,600.0,150.0,2612901.0
Sao Bento do Una,151.0,151.0,185.0,151.0,140.0,1000.0,140.0,2613008.0
Sao Caitano,151.0,160.0,210.0,170.0,150.0,600.0,150.0,2613107.0
Sao Joao,100.0,100.0,200.0,200.0,80.0,500.0,90.0,2613206.0
Sao Joaquim do Monte,145.0,140.0,200.0,151.0,120.0,500.0,150.0,2613305.0
Sao Jose da Coroa Grande,151.0,151.0,160.0,180.0,151.0,600.0,151.0,2613404.0
Sao Jose do Belmonte,120.0,150.0,300.0,200.0,100.0,600.0,100.0,2613503.0
Sao Jose do Egito,151.0,151.0,200.0,152.0,100.0,1000.0,151.0,2613602.0
Sao Lourenco da Mata,200.0,200.0,245.0,215.0,151.0,1000.0,200.0,2613701.0
Sao Vicente Ferrer,140.0,132.0,160.0,151.0,100.0,500.0,150.0,2613800.0
Serra Talhada,151.0,151.0,200.0,300.0,120.0,1000.0,150.0,2613909.0
Serrita,120.0,114.0,151.0,190.0,100.0,500.0,130.0,2614006.0
Sertania,151.0,151.0,200.0,240.0,120.0,1000.0,192.0,2614105.0
Sirinhaem,151.0,151.0,151.0,154.0,151.0,1000.0,151.0,2614204.0
Solidao,140.0,133.0,200.0,150.0,80.0,1900.0,150.0,2614402.0
Surubim,160.0,151.0,210.0,200.0,151.0,1800.0,160.0,2614501.0
Tabira,150.0,140.0,151.0,185.0,100.0,302.0,150.0,2614600.0
Tacaimbo,151.0,160.0,220.0,200.0,151.0,1500.0,140.0,2614709.0
Tacaratu,120.0,120.0,250.0,151.0,75.0,180.0,100.0,2614808.0
Tamandare,160.0,151.0,175.0,490.0,151.0,1000.0,180.0,2614857.0
Taquaritinga do Norte,200.0,200.0,240.0,280.0,160.0,1000.0,151.0,2615003.0
Terezinha,100.0,100.0,240.0,151.0,80.0,500.0,100.0,2615102.0
Terra Nova,120.0,130.0,210.0,160.0,80.0,800.0,100.0,2615201.0
Timbauba,151.0,151.0,168.0,264.0,140.0,1000.0,151.0,2615300.0
Toritama,250.0,240.0,250.0,200.0,240.0,1000.0,400.0,2615409.0
Tracunhaem,151.0,151.0,151.0,160.0,151.0,2300.0,151.0,2615508.0
Trindade,150.0,151.0,220.0,185.0,150.0,1500.0,150.0,2615607.0
Triunfo,150.0,150.0,250.0,230.0,100.0,1000.0,150.0,2615706.0
Tupanatinga,120.0,150.0,160.0,197.0,100.0,600.0,100.0,2615805.0
Tuparetama,151.0,151.0,280.0,230.0,120.0,3000.0,200.0,2615904.0
Venturosa,140.0,120.0,245.0,155.0,100.0,600.0,200.0,2616001.0
Verdejante,115.0,120.0,400.0,151.0,100.0,400.0,100.0,2616100.0
Vertente do Lerio,151.0,151.0,186.0,194.0,100.0,0.0,150.0,2616183.0
Vertentes,160.0,156.0,225.0,210.0,151.0,1000.0,160.0,2616209.0
Vicencia,151.0,148.0,151.0,200.0,120.0,1000.0,160.0,2616308.0
Vitoria de Santo Antao,180.0,167.0,225.0,348.0,151.0,800.0,165.0,2616407.0
Xexeu,151.0,151.0,160.0,151.0,120.0,500.0,151.0,2616506.0
,,,,,,,,
,,,,,,,,
"Fonte: IBGE, Censo Demografico 2000.
(1) Inclusive os trabalhadores domesticos.",,,,,,,,
