municipio,"pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_ate_14_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_15_a_29_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_30_a_39_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_40_a_44_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_45_a_48_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_49_horas_ou_mais",codigo
Frei Miguelinho,4115.0,291.0,903.0,688.0,783.0,496.0,954.0,2605806.0
Gameleira,5433.0,213.0,539.0,1034.0,1074.0,739.0,1833.0,2605905.0
Garanhuns,41270.0,1627.0,5282.0,4197.0,11713.0,6835.0,11616.0,2606002.0
Gloria do Goita,10838.0,781.0,1804.0,1433.0,2767.0,1169.0,2884.0,2606101.0
Goiana,20977.0,1039.0,2515.0,2418.0,3621.0,3844.0,7541.0,2606200.0
Granito,1198.0,54.0,216.0,186.0,459.0,63.0,220.0,2606309.0
Gravata,22674.0,893.0,2539.0,2315.0,5547.0,3594.0,7784.0,2606408.0
Iati,7565.0,194.0,1639.0,1155.0,2116.0,985.0,1475.0,2606507.0
Ibimirim,6666.0,311.0,1553.0,775.0,1652.0,579.0,1796.0,2606606.0
Ibirajuba,2630.0,151.0,657.0,477.0,511.0,483.0,350.0,2606705.0
Igarassu,21064.0,639.0,1545.0,2113.0,4543.0,4966.0,7258.0,2606804.0
Iguaraci,4305.0,102.0,774.0,539.0,1292.0,803.0,795.0,2606903.0
Ilha de Itamaraca,4532.0,279.0,669.0,733.0,816.0,735.0,1301.0,2607604.0
Inaja,4166.0,145.0,936.0,444.0,1479.0,528.0,634.0,2607000.0
Ingazeira,2105.0,178.0,614.0,284.0,408.0,306.0,316.0,2607109.0
Ipojuca,15426.0,725.0,1315.0,1476.0,2271.0,4035.0,5603.0,2607208.0
Ipubi,6912.0,374.0,831.0,987.0,2093.0,1187.0,1439.0,2607307.0
Itacuruba,1051.0,101.0,238.0,248.0,265.0,108.0,90.0,2607406.0
Itaiba,10210.0,204.0,1704.0,1924.0,3512.0,1177.0,1690.0,2607505.0
Itambe,8708.0,322.0,810.0,874.0,1685.0,1218.0,3798.0,2607653.0
Itapetim,6123.0,590.0,1487.0,839.0,862.0,903.0,1443.0,2607703.0
Itapissuma,6238.0,338.0,715.0,1077.0,1164.0,684.0,2260.0,2607752.0
Itaquitinga,3858.0,239.0,400.0,386.0,569.0,482.0,1782.0,2607802.0
Jaboatao dos Guararapes,185262.0,6514.0,14524.0,18951.0,48684.0,37001.0,59589.0,2607901.0
Jaqueira,2212.0,45.0,517.0,362.0,519.0,226.0,543.0,2607950.0
Jatauba,6879.0,405.0,1811.0,1385.0,1145.0,1091.0,1042.0,2608008.0
Jatoba,3298.0,267.0,488.0,594.0,1065.0,392.0,491.0,2608057.0
Joao Alfredo,9292.0,1169.0,1904.0,1322.0,2031.0,887.0,1978.0,2608107.0
Joaquim Nabuco,3415.0,94.0,294.0,437.0,1195.0,455.0,940.0,2608206.0
Jucati,4078.0,121.0,918.0,635.0,1347.0,665.0,394.0,2608255.0
Jupi,5729.0,249.0,1296.0,980.0,1308.0,881.0,1015.0,2608305.0
Jurema,5595.0,249.0,1629.0,968.0,1783.0,335.0,631.0,2608404.0
Lagoa do Carro,4375.0,191.0,712.0,407.0,687.0,924.0,1455.0,2608453.0
Lagoa do Itaenga,5897.0,283.0,977.0,614.0,1359.0,641.0,2024.0,2608503.0
Lagoa do Ouro,5461.0,186.0,986.0,921.0,1419.0,1043.0,905.0,2608602.0
Lagoa dos Gatos,6000.0,474.0,1614.0,924.0,1950.0,303.0,734.0,2608701.0
Lagoa Grande,6616.0,146.0,842.0,657.0,2027.0,1671.0,1273.0,2608750.0
Lajedo,13034.0,652.0,1820.0,1487.0,2735.0,1979.0,4362.0,2608800.0
Limoeiro,18425.0,1137.0,2260.0,2157.0,3701.0,3784.0,5385.0,2608909.0
Macaparana,6326.0,481.0,1031.0,913.0,1044.0,1049.0,1808.0,2609006.0
