municipio,"pessoas_de_10_anos_ou_mais_de_idade,_empregadas_no_trabalho_principal_da_semana_de_referencia_total_(1)","pessoas_de_10_anos_ou_mais_de_idade,_empregadas_no_trabalho_principal_da_semana_de_referencia_subgrupo_do_emprego_no_trabalho_principal_trabalhadores_domesticos_total","pessoas_de_10_anos_ou_mais_de_idade,_empregadas_no_trabalho_principal_da_semana_de_referencia_subgrupo_do_emprego_no_trabalho_principal_trabalhadores_domesticos_categoria_do_emprego_no_trabalho_principal__com_carteira_de_trabalho_assinada","pessoas_de_10_anos_ou_mais_de_idade,_empregadas_no_trabalho_principal_da_semana_de_referencia_subgrupo_do_emprego_no_trabalho_principal_trabalhadores_domesticos_categoria_do_emprego_no_trabalho_principal__sem_carteira_de_trabalho_assinada","pessoas_de_10_anos_ou_mais_de_idade,_empregadas_no_trabalho_principal_da_semana_de_referencia_subgrupo_do_emprego_no_trabalho_principal_demais_empregados_total_(1)__sem_carteira_de_trabalho_assinada","pessoas_de_10_anos_ou_mais_de_idade,_empregadas_no_trabalho_principal_da_semana_de_referencia_subgrupo_do_emprego_no_trabalho_principal_demais_empregados_categoria_do_emprego_no_trabalho_principal__com_carteira_de_trabalho_assinada","pessoas_de_10_anos_ou_mais_de_idade,_empregadas_no_trabalho_principal_da_semana_de_referencia_subgrupo_do_emprego_no_trabalho_principal_demais_empregados_categoria_do_emprego_no_trabalho_principal__militares_e_funcionarios_publicos_estatutarios","pessoas_de_10_anos_ou_mais_de_idade,_empregadas_no_trabalho_principal_da_semana_de_referencia_subgrupo_do_emprego_no_trabalho_principal_demais_empregados_categoria_do_emprego_no_trabalho_principal__outros_sem_carteira_de_trabalho_assinada_(1)",codigo
Itapetim,2137.0,314.0,19.0,295.0,1824.0,441.0,319.0,1064.0,2607703.0
Itapissuma,3818.0,384.0,53.0,331.0,3434.0,1818.0,359.0,1257.0,2607752.0
Itaquitinga,2864.0,476.0,150.0,326.0,2388.0,1466.0,175.0,746.0,2607802.0
Jaboatao dos Guararapes,137511.0,14519.0,4741.0,9779.0,122992.0,79516.0,8139.0,35337.0,2607901.0
Jaqueira,1906.0,60.0,21.0,39.0,1846.0,1187.0,318.0,340.0,2607950.0
Jatauba,2394.0,94.0,0.0,94.0,2300.0,251.0,198.0,1851.0,2608008.0
Jatoba,2099.0,262.0,21.0,241.0,1837.0,904.0,346.0,587.0,2608057.0
Joao Alfredo,3055.0,349.0,21.0,328.0,2705.0,987.0,106.0,1612.0,2608107.0
Joaquim Nabuco,2680.0,179.0,49.0,129.0,2501.0,1459.0,221.0,821.0,2608206.0
Jucati,819.0,78.0,11.0,67.0,740.0,73.0,92.0,576.0,2608255.0
Jupi,1457.0,133.0,0.0,133.0,1325.0,142.0,420.0,763.0,2608305.0
Jurema,1342.0,147.0,6.0,141.0,1195.0,83.0,409.0,703.0,2608404.0
Lagoa do Carro,2783.0,286.0,61.0,225.0,2497.0,976.0,179.0,1342.0,2608453.0
Lagoa do Itaenga,3995.0,383.0,136.0,246.0,3613.0,1618.0,264.0,1731.0,2608503.0
Lagoa do Ouro,1132.0,104.0,0.0,104.0,1029.0,64.0,341.0,624.0,2608602.0
Lagoa dos Gatos,2034.0,268.0,21.0,247.0,1766.0,274.0,224.0,1268.0,2608701.0
Lagoa Grande,3538.0,164.0,0.0,164.0,3374.0,1266.0,330.0,1778.0,2608750.0
Lajedo,5512.0,769.0,19.0,751.0,4742.0,757.0,570.0,3416.0,2608800.0
Limoeiro,10798.0,986.0,257.0,730.0,9811.0,4637.0,678.0,4496.0,2608909.0
Macaparana,4099.0,530.0,107.0,424.0,3569.0,1656.0,231.0,1682.0,2609006.0
Machados,1982.0,151.0,15.0,136.0,1831.0,442.0,107.0,1282.0,2609105.0
Manari,326.0,23.0,0.0,23.0,303.0,58.0,144.0,101.0,2609154.0
Maraial,2745.0,130.0,17.0,112.0,2615.0,1042.0,244.0,1330.0,2609204.0
Mirandiba,2006.0,243.0,4.0,239.0,1763.0,193.0,467.0,1103.0,2609303.0
Moreilandia,1136.0,67.0,8.0,58.0,1069.0,410.0,105.0,554.0,2614303.0
Moreno,9617.0,975.0,322.0,653.0,8642.0,5347.0,380.0,2915.0,2609402.0
Nazare da Mata,6249.0,757.0,229.0,528.0,5492.0,3569.0,476.0,1447.0,2609501.0
Olinda,91327.0,10564.0,3938.0,6626.0,80763.0,50714.0,7155.0,22895.0,2609600.0
Orobo,2767.0,294.0,49.0,245.0,2473.0,664.0,363.0,1446.0,2609709.0
Oroco,1824.0,79.0,0.0,79.0,1745.0,192.0,234.0,1319.0,2609808.0
Ouricuri,6750.0,821.0,65.0,756.0,5929.0,1342.0,1010.0,3578.0,2609907.0
Palmares,9945.0,963.0,167.0,796.0,8982.0,4586.0,691.0,3705.0,2610004.0
Palmeirina,1348.0,192.0,34.0,159.0,1156.0,143.0,397.0,616.0,2610103.0
Panelas,2966.0,268.0,7.0,261.0,2698.0,444.0,642.0,1612.0,2610202.0
Paranatama,1457.0,101.0,0.0,101.0,1357.0,91.0,196.0,1069.0,2610301.0
Parnamirim,2666.0,260.0,5.0,255.0,2407.0,344.0,444.0,1619.0,2610400.0
Passira,4117.0,316.0,53.0,263.0,3801.0,1551.0,438.0,1812.0,2610509.0
Paudalho,8969.0,1694.0,671.0,1023.0,7275.0,4229.0,425.0,2620.0,2610608.0
Paulista,65258.0,5672.0,1716.0,3956.0,59586.0,39386.0,5210.0,14990.0,2610707.0
Pedra,3384.0,386.0,0.0,386.0,2998.0,170.0,454.0,2374.0,2610806.0
Pesqueira,9275.0,1071.0,134.0,937.0,8204.0,3120.0,715.0,4369.0,2610905.0
Petrolandia,4644.0,403.0,40.0,364.0,4241.0,830.0,1019.0,2392.0,2611002.0
Petrolina,49522.0,4747.0,867.0,3880.0,44775.0,22462.0,4606.0,17706.0,2611101.0
Pocao,1881.0,143.0,0.0,143.0,1738.0,288.0,284.0,1166.0,2611200.0
Pombos,4100.0,532.0,131.0,401.0,3569.0,1108.0,263.0,2197.0,2611309.0
Primavera,2031.0,213.0,48.0,165.0,1818.0,846.0,144.0,828.0,2611408.0
Quipapa,3173.0,255.0,40.0,215.0,2917.0,1001.0,268.0,1648.0,2611507.0
Quixaba,495.0,41.0,12.0,29.0,454.0,81.0,270.0,103.0,2611533.0
Recife,368903.0,43259.0,17711.0,25548.0,325644.0,207340.0,34843.0,83461.0,2611606.0
Riacho das Almas,2785.0,217.0,30.0,188.0,2567.0,327.0,268.0,1972.0,2611705.0
Ribeirao,7097.0,571.0,143.0,428.0,6526.0,3839.0,230.0,2457.0,2611804.0
Rio Formoso,3646.0,265.0,49.0,216.0,3381.0,2066.0,298.0,1016.0,2611903.0
Saire,2772.0,294.0,16.0,278.0,2478.0,233.0,394.0,1851.0,2612000.0
Salgadinho,866.0,102.0,33.0,70.0,764.0,213.0,51.0,500.0,2612109.0
Salgueiro,9423.0,1059.0,51.0,1007.0,8364.0,3236.0,1250.0,3878.0,2612208.0
Saloa,1743.0,139.0,12.0,126.0,1605.0,135.0,363.0,1108.0,2612307.0
Sanharo,3136.0,237.0,0.0,237.0,2899.0,697.0,252.0,1951.0,2612406.0
Santa Cruz,726.0,107.0,12.0,95.0,619.0,50.0,289.0,280.0,2612455.0
Santa Cruz da Baixa Verde,1261.0,117.0,6.0,111.0,1144.0,134.0,296.0,714.0,2612471.0
Santa Cruz do Capibaribe,18250.0,1289.0,43.0,1246.0,16962.0,2047.0,386.0,14528.0,2612505.0
Santa Filomena,780.0,71.0,4.0,67.0,709.0,43.0,242.0,424.0,2612554.0
Santa Maria da Boa Vista,4829.0,302.0,0.0,302.0,4527.0,966.0,546.0,3015.0,2612604.0
Santa Maria do Cambuca,1338.0,166.0,9.0,157.0,1172.0,141.0,137.0,895.0,2612703.0
Santa Terezinha,1532.0,226.0,1.0,225.0,1306.0,252.0,306.0,749.0,2612802.0
Sao Benedito do Sul,1593.0,54.0,5.0,49.0,1539.0,576.0,128.0,834.0,2612901.0
Sao Bento do Una,6644.0,740.0,38.0,702.0,5904.0,1853.0,408.0,3643.0,2613008.0
Sao Caitano,4896.0,458.0,57.0,401.0,4438.0,1757.0,650.0,2031.0,2613107.0
Sao Joao,2563.0,186.0,19.0,167.0,2377.0,299.0,306.0,1773.0,2613206.0
Sao Joaquim do Monte,3264.0,259.0,24.0,235.0,3006.0,262.0,358.0,2385.0,2613305.0
Sao Jose da Coroa Grande,2334.0,310.0,74.0,236.0,2024.0,756.0,309.0,959.0,2613404.0
Sao Jose do Belmonte,4344.0,357.0,5.0,353.0,3986.0,425.0,1221.0,2340.0,2613503.0
Sao Jose do Egito,4659.0,544.0,27.0,516.0,4115.0,1071.0,555.0,2489.0,2613602.0
Sao Lourenco da Mata,19115.0,2707.0,921.0,1786.0,16408.0,8877.0,1954.0,5577.0,2613701.0
Sao Vicente Ferrer,2961.0,237.0,22.0,214.0,2724.0,771.0,149.0,1804.0,2613800.0
Serra Talhada,12981.0,1679.0,234.0,1445.0,11302.0,4416.0,984.0,5902.0,2613909.0
Serrita,2544.0,293.0,13.0,279.0,2251.0,305.0,426.0,1520.0,2614006.0
Sertania,4477.0,389.0,24.0,364.0,4089.0,999.0,685.0,2404.0,2614105.0
Sirinhaem,6421.0,1032.0,381.0,650.0,5389.0,3555.0,178.0,1656.0,2614204.0
Solidao,533.0,16.0,0.0,16.0,517.0,81.0,236.0,200.0,2614402.0
Surubim,8954.0,878.0,96.0,782.0,8076.0,3024.0,461.0,4591.0,2614501.0
Tabira,3513.0,494.0,27.0,467.0,3020.0,597.0,306.0,2116.0,2614600.0
Tacaimbo,1285.0,112.0,13.0,99.0,1173.0,374.0,41.0,758.0,2614709.0
Tacaratu,2392.0,167.0,0.0,167.0,2225.0,279.0,347.0,1600.0,2614808.0
Tamandare,2840.0,814.0,276.0,538.0,2026.0,796.0,130.0,1100.0,2614857.0
Taquaritinga do Norte,4618.0,312.0,13.0,300.0,4305.0,1035.0,142.0,3128.0,2615003.0
Terezinha,615.0,31.0,2.0,29.0,583.0,84.0,90.0,410.0,2615102.0
Terra Nova,890.0,124.0,0.0,124.0,766.0,93.0,289.0,384.0,2615201.0
Timbauba,10925.0,1599.0,218.0,1381.0,9325.0,4909.0,556.0,3860.0,2615300.0
Toritama,7574.0,403.0,0.0,403.0,7171.0,787.0,117.0,6267.0,2615409.0
Tracunhaem,2780.0,544.0,211.0,333.0,2236.0,1250.0,126.0,861.0,2615508.0
Trindade,3690.0,320.0,11.0,308.0,3371.0,990.0,457.0,1924.0,2615607.0
Triunfo,2414.0,350.0,14.0,336.0,2065.0,442.0,505.0,1117.0,2615706.0
Tupanatinga,1618.0,282.0,16.0,266.0,1336.0,203.0,391.0,742.0,2615805.0
Tuparetama,1131.0,159.0,0.0,159.0,972.0,247.0,274.0,451.0,2615904.0
Venturosa,2581.0,322.0,3.0,319.0,2259.0,167.0,453.0,1639.0,2616001.0
Verdejante,1251.0,113.0,4.0,108.0,1139.0,187.0,180.0,772.0,2616100.0
Vertente do Lerio,703.0,65.0,9.0,56.0,638.0,278.0,80.0,280.0,2616183.0
Vertentes,3014.0,139.0,9.0,130.0,2875.0,417.0,71.0,2388.0,2616209.0
Vicencia,5741.0,616.0,106.0,509.0,5125.0,2054.0,773.0,2299.0,2616308.0
Vitoria de Santo Antao,21342.0,2781.0,709.0,2072.0,18561.0,8442.0,1418.0,8700.0,2616407.0
Xexeu,2292.0,170.0,18.0,152.0,2121.0,857.0,350.0,914.0,2616506.0
