municipios;domicilios_particulares_permanentes_urbanos_com_agua_canalizada_pela_rede_geral_total;domicilios_particulares_permanentes_urbanos_com_agua_canalizada_pela_rede_geral_em_pelo_menos_um_comodo;domicilios_particulares_permanentes_urbanos_com_agua_canalizada_pela_rede_geral_so_na_propriedade_ou_terreno;domicilios_particulares_permanentes_urbanos_com_agua_canalizada_por_poco_ou_nascente_total;domicilios_particulares_permanentes_urbanos_com_agua_canalizada_por_poco_ou_nascente_em_pelo_menos_um_comodo;domicilios_particulares_permanentes_urbanos_com_agua_canalizada_por_poco_ou_nascente_so_na_propriedade_ou_terreno;domicilios_particulares_permanentes_urbanos_com_agua_nao_canalizada_por_poco_ou_nascente_;domicilios_particulares_permanentes_urbanos_com_outra_forma_de_abastecimento_de_agua;
Paulista;92,4;88,6;3,8;5,8;4,5;0,4;1,0;1,8;
Pedra;79,8;68,6;11,1;4,1;0,6;0,1;3,4;16,1;
Pesqueira;75,2;67,3;7,9;1,1;0,4;0,1;0,6;23,7;
Petrolândia;88,1;80,8;7,3;0,5;0,0;0,0;0,5;11,4;
Petrolina;97,8;88,3;9,5;0,1;0,0;0,0;0,1;2,2;
Poção;48,0;37,4;10,6;8,6;0,5;0,5;7,5;43,5;
Pombos;78,6;55,7;22,8;1,0;0,3;0,2;0,5;20,5;
Primavera;59,9;55,7;4,3;8,6;6,0;2,1;0,5;31,5;
Quipapá;91,2;80,7;10,5;2,6;1,1;0,0;1,4;6,2;
Quixaba;87,8;87,6;0,2;1,4;0,2;0,4;0,8;10,8;
Recife;88,0;79,3;8,7;9,6;8,2;0,6;0,8;2,4;
Riacho das Almas;70,6;65,1;5,4;0,5;0,0;0,1;0,4;29,0;
Ribeirão;88,7;83,4;5,3;3,2;0,9;0,9;1,3;8,1;
Rio Formoso;79,8;75,4;4,4;5,9;2,9;0,6;2,4;14,3;
Sairé;76,1;75,2;0,9;5,8;0,3;0,0;5,5;18,1;
Salgadinho;85,3;81,2;4,1;3,0;1,9;0,2;0,9;11,7;
Salgueiro;96,8;89,8;7,0;0,1;0,0;0,0;0,1;3,2;
Saloá;73,7;71,8;1,9;6,0;1,7;0,6;3,8;20,2;
Sanharó;74,7;73,3;1,4;7,8;5,0;0,3;2,4;17,5;
Santa Cruz;94,8;76,0;18,8;0,7;0,0;0,0;0,7;4,6;
Santa Cruz da Baixa Verde;1,3;1,1;0,2;8,0;6,8;0,3;1,0;90,7;
Santa Cruz do Capibaribe;71,4;63,6;7,8;1,6;0,5;0,6;0,4;27,0;
Santa Filomena;90,5;89,6;0,9;0,2;0,0;0,0;0,2;9,3;
Santa Maria da Boa Vista;95,2;83,6;11,7;0,0;0,0;0,0;0,0;4,8;
Santa Maria do Cambucá;47,9;47,9;0,0;6,5;2,2;0,0;4,3;45,6;
Santa Terezinha;72,7;70,2;2,5;0,4;0,0;0,0;0,4;26,9;
São Benedito do Sul;81,6;80,2;1,3;3,7;0,0;0,0;3,7;14,8;
São Bento do Una;86,2;67,9;18,4;0,2;0,0;0,0;0,2;13,5;
São Caitano;88,1;74,0;14,1;0,7;0,0;0,1;0,6;11,2;
São João;87,2;74,2;13,0;0,1;0,1;0,0;0,0;12,7;
São Joaquim do Monte;92,5;89,5;2,9;0,5;0,1;0,0;0,3;7,0;
São José da Coroa Grande;73,8;66,8;7,0;20,8;5,4;1,3;14,1;5,4;
São José do Belmonte;93,7;83,0;10,6;0,6;0,5;0,0;0,1;5,8;
São José do Egito;96,2;90,2;6,0;0,3;0,1;0,0;0,2;3,5;
São Lourenço da Mata;68,1;59,3;8,7;16,0;6,0;0,9;9,1;15,9;
São Vicente Ferrer;81,4;65,3;16,0;4,4;2,6;1,5;0,3;14,3;
Serra Talhada;94,3;88,2;6,1;0,3;0,2;0,0;0,1;5,4;
Serrita;86,3;71,6;14,8;4,5;3,7;0,5;0,3;9,2;
Sertânia;79,3;77,6;1,8;3,6;1,7;0,5;1,4;17,0;
Sirinhaém;72,4;65,0;7,4;9,5;6,3;0,8;2,5;18,1;
Solidão;82,7;82,4;0,3;1,0;0,3;0,3;0,3;16,3;
Surubim;86,3;77,7;8,5;1,0;0,1;0,2;0,7;12,7;
Tabira;91,1;89,6;1,5;1,0;0,2;0,2;0,7;7,9;
Tacaimbó;79,2;75,7;3,5;0,1;0,1;0,0;0,1;20,7;
Tacaratu;76,4;60,8;15,6;2,5;2,1;0,3;0,1;21,1;
Tamandaré;76,0;70,1;5,9;18,8;6,7;1,1;11,0;5,2;
Taquaritinga do Norte;38,5;37,3;1,1;2,0;0,7;0,1;1,2;59,5;
Terezinha;79,8;74,1;5,7;2,2;0,2;0,2;1,8;18,0;
Terra Nova;94,5;79,5;14,9;0,0;0,0;0,0;0,0;5,5;
Timbaúba;83,3;61,6;21,7;1,5;0,4;0,0;1,0;15,2;
Toritama;80,7;80,3;0,4;1,5;0,5;0,1;0,9;17,8;
Tracunhaém;83,1;59,9;23,2;1,9;1,1;0,3;0,6;15,0;
Trindade;8,9;8,6;0,3;1,5;0,3;0,1;1,1;89,6;
Triunfo;71,9;60,6;11,4;14,0;6,6;0,4;6,9;14,1;
Tupanatinga;84,0;78,6;5,4;2,1;1,5;0,2;0,4;13,9;
Tuparetama;97,6;96,8;0,8;0,0;0,0;0,0;0,0;2,4;
Venturosa;76,0;69,8;6,2;1,1;0,4;0,1;0,6;22,9;
Verdejante;91,9;79,2;12,6;0,0;0,0;0,0;0,0;8,1;
Vertente do Lério;6,5;6,0;0,5;0,7;0,0;0,2;0,5;92,8;
Vertentes;43,1;33,3;9,8;2,5;1,0;0,2;1,3;54,4;
Vicência;85,3;79,4;5,9;7,5;1,9;0,2;5,4;7,3;
Vitória de Santo Antão;85,6;79,2;6,4;2,5;0,8;0,3;1,5;11,8;
Xexéu;70,0;61,0;9,0;5,3;1,9;0,0;3,4;24,7;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
