municipio,pessoas_de_10_anos_ou_mais_de_idade_total,pessoas_de_10_anos_ou_mais_de_idade_alfabetizadas,pessoas_de_10_anos_ou_mais_de_idade_taxa_de_alfabetizacao_(%),pessoas_de_10_anos_ou_mais_de_idade_10_a_14_anos_total,pessoas_de_10_anos_ou_mais_de_idade_10_a_14_anos_alfabetizadas,pessoas_de_10_anos_ou_mais_de_idade_10_a_14_anos_taxa_de_alfabetizacao_(%),pessoas_de_10_anos_ou_mais_de_idade_15_a_19_anos_total,pessoas_de_10_anos_ou_mais_de_idade_15_a_19_anos_alfabetizadas,pessoas_de_10_anos_ou_mais_de_idade_15_a_19_anos_taxa_de_alfabetizacao_(%),pessoas_de_10_anos_ou_mais_de_idade_20_anos_ou_mais_total,pessoas_de_10_anos_ou_mais_de_idade_20_anos_ou_mais_alfabetizadas,pessoas_de_10_anos_ou_mais_de_idade_20_anos_ou_mais_taxa_de_alfabetizacao_(%),codigo
Bonito,29274.0,18874.0,64.4735943157751,4513.0,3785.0,83.86882339906936,4257.0,3609.0,84.77801268498943,20504.0,11479.0,55.98419820522825,2602308.0
Brejao,6761.0,4132.0,61.11521964206479,1028.0,812.0,78.98832684824903,988.0,845.0,85.52631578947368,4745.0,2475.0,52.160168598524756,2602407.0
Brejinho,5773.0,3778.0,65.44257751602287,955.0,796.0,83.35078534031413,870.0,720.0,82.75862068965517,3948.0,2261.0,57.26950354609929,2602506.0
Brejo da Madre de Deus,29010.0,17242.0,59.43467769734574,4487.0,3191.0,71.11655894807221,4162.0,3024.0,72.6573762614128,20361.0,11026.0,54.152546535042475,2602605.0
Buenos Aires,9641.0,6650.0,68.9762472772534,1374.0,1202.0,87.48180494905385,1604.0,1453.0,90.5860349127182,6663.0,3996.0,59.972985141828005,2602704.0
Buique,33719.0,18727.0,55.53842047510306,6054.0,4089.0,67.54212091179386,5694.0,4243.0,74.51703547593958,21971.0,10395.0,47.31236630103318,2602803.0
Cabo de Santo Agostinho,121971.0,100857.0,82.6893277910323,16420.0,15033.0,91.55298416565164,17850.0,16838.0,94.33053221288516,87701.0,68986.0,78.66044856957161,2602902.0
Cabrobo,20443.0,14640.0,71.61375531966932,3177.0,2641.0,83.12873780295877,3077.0,2738.0,88.98277543061424,14189.0,9262.0,65.27591796462048,2603009.0
Cachoeirinha,13688.0,8852.0,64.6697837521917,1918.0,1677.0,87.43482794577685,1932.0,1705.0,88.25051759834368,9838.0,5470.0,55.60073185606831,2603108.0
Caetes,18276.0,10221.0,55.9258043335522,3206.0,2386.0,74.42295695570806,2952.0,2312.0,78.31978319783198,12118.0,5523.0,45.57682785938273,2603207.0
Calcado,9045.0,5883.0,65.04145936981757,1436.0,1219.0,84.88857938718662,1352.0,1198.0,88.6094674556213,6257.0,3466.0,55.393958766181875,2603306.0
Calumbi,5555.0,3572.0,64.3024302430243,935.0,751.0,80.32085561497327,848.0,720.0,84.90566037735849,3772.0,2102.0,55.72640509013785,2603405.0
Camaragibe,104542.0,89991.0,86.08119224809168,12564.0,11910.0,94.79465138490927,13404.0,12752.0,95.13578036407043,78574.0,65329.0,83.14327894723445,2603454.0
Camocim de Sao Felix,11937.0,7655.0,64.12834045405043,1630.0,1451.0,89.01840490797545,1694.0,1480.0,87.36717827626919,8613.0,4724.0,54.847323812841054,2603504.0
Camutanga,6191.0,4184.0,67.58197383298337,895.0,785.0,87.70949720670392,929.0,807.0,86.8675995694295,4367.0,2592.0,59.354247767346,2603603.0
Canhotinho,19510.0,11702.0,59.979497693490515,2928.0,2180.0,74.4535519125683,2967.0,2461.0,82.94573643410853,13615.0,7060.0,51.85457216305546,2603702.0
Capoeiras,15035.0,9643.0,64.13701363485201,2628.0,2064.0,78.53881278538812,2330.0,2020.0,86.69527896995707,10077.0,5560.0,55.17515133472264,2603801.0
Carnaiba,13877.0,9836.0,70.87987317143475,2252.0,2089.0,92.7619893428064,2057.0,1879.0,91.34662129314536,9568.0,5869.0,61.339882943143806,2603900.0
Carnaubeira da Penha,7571.0,4671.0,61.695945053493595,1443.0,1080.0,74.84407484407485,1164.0,987.0,84.79381443298969,4964.0,2603.0,52.43755036261079,2603926.0
Carpina,51710.0,41494.0,80.2436666022046,6538.0,6055.0,92.61241970021413,7004.0,6608.0,94.34608794974301,38168.0,28831.0,75.53709914064137,2604007.0
Caruaru,204112.0,163316.0,80.01293407540958,26439.0,23177.0,87.66216574000529,26238.0,23819.0,90.78054729781233,151435.0,116320.0,76.81183345990028,2604106.0
Casinhas,10284.0,6665.0,64.80941267989108,1716.0,1442.0,84.03263403263404,1697.0,1457.0,85.8573954036535,6871.0,3766.0,54.81007131421918,2604155.0
Catende,24369.0,17412.0,71.45143419918749,3824.0,3454.0,90.32426778242679,3620.0,3166.0,87.45856353591161,16925.0,10792.0,63.76366322008863,2604205.0
Cedro,7234.0,5227.0,72.2560132706663,1356.0,1186.0,87.46312684365782,1023.0,954.0,93.25513196480938,4855.0,3087.0,63.58393408856848,2604304.0
Cha de Alegria,8558.0,5937.0,69.37368544052349,1379.0,1122.0,81.36330674401741,1415.0,1251.0,88.40989399293287,5764.0,3564.0,61.832061068702295,2604403.0
Cha Grande,14861.0,9569.0,64.39001413094677,2317.0,1931.0,83.34052654294346,2153.0,1834.0,85.18346493265211,10391.0,5804.0,55.856029256087005,2604502.0
Condado,17014.0,11980.0,70.41260138709298,2241.0,1838.0,82.0169567157519,2555.0,2226.0,87.12328767123287,12218.0,7916.0,64.78965460795547,2604601.0
Correntes,13223.0,8306.0,62.81479240716933,2148.0,1622.0,75.512104283054,2118.0,1814.0,85.64683663833806,8957.0,4869.0,54.35971865579994,2604700.0
Cortes,9691.0,6634.0,68.4552677742235,1580.0,1369.0,86.64556962025316,1673.0,1432.0,85.59473998804543,6438.0,3833.0,59.537123330226784,2604809.0
Cumaru,22183.0,14400.0,64.91457422350449,3051.0,2809.0,92.06817436905934,3304.0,2899.0,87.74213075060533,15828.0,8691.0,54.9090219863533,2604908.0
Cupira,17665.0,10755.0,60.88310217945089,2381.0,1772.0,74.422511549769,2562.0,2177.0,84.97267759562843,12722.0,6806.0,53.49787769218677,2605004.0
Custodia,24388.0,16512.0,67.70542889945875,3650.0,2932.0,80.32876712328768,3528.0,2954.0,83.73015873015873,17210.0,10626.0,61.74317257408484,2605103.0
